CUSTOMER_ID|CONTACT_ID|C_ADDRESS_LINE1|C_ADDRESS_LINE2|C_CITY|C_ZIP|STATE_NAME|COUNTRY_NAME|C_PHONE|C_EMAIL
1|1|123 smith street||Houston|77024|Texas|United States|832-431-2231|bestamerican@gmail.com
2|1|1196 COUNTY RD||Liberty|77575|Texas|United States|832-748-5406|cowgirl@cowgirl.customer.com
3|1|321 smith dr ||Cypress|77429|Texas|United States|832-821-3921|melisio@gmail.com
4|1|9851 washington ave||Houston|77006|Texas|United States|832-855-4234|ernestotrucking@yahoo.com
5|1|4105 alabams st||Houston|77006|Texas|United States|713-912-4123|
6|1|450 main st||Houston|77006|Texas|United States|281-394-3213|
7|1|9889 cowboy ave||Pasadena|77302|Texas|United States|512-321-4234|
8|1|3821 johnson st||Cypress|77429|Texas|United States|832-231-3131|
9|1|5314 Adams st||Houston|77024|Texas|United States|713-903-9398|
10|1|732 lettuce vine st||Cypress|77429|Texas|United States|281-312-1331|
11|1|1500 interstate ave||Pasadena |77420|Texas|United States|832-932-1231|
12|1|500 local state dr||Houston|77024|Texas|United States|512-321-3134|
13|1|7423 steelwood dr||cypress|77429|Texas|United States|713-132-1313|
14|1|800 jason ave||Austin|73942|Texas|United States|832-534-2345|
15|1|813 Harrison Dr||Fort worth|73193|Texas|United States|293-312-3234|
16|1|2138 Washington ave||Houston|77429|Texas|United States|283-331-3124|MarianoServices@yahoo.com
17|1|435 congress dr||San Antonio|73023|Texas|United States|842-424-4213|
18|1|654 wick st||Fort worth|77493|Texas|United States|840-423-6543|
19|1|953 barker cypress rd||Cypress|77439|Texas|United States|832-944-3135|
20|1|843 kingsbrook rd||houston|77039|Texas|United States|618-313-4684|ptoh@customer.com
21|1|675 kingsway ave||katy|77329|Texas|United States|918-323-2345|
22|1|759 licoln ave||Katy|77493|Texas|United States|843-347-4822|
23|1|432 main st||Houston|77024|Texas|United States|753-546-2475|
24|1|5th st||Austin|77323|Texas|United States|475-489-2874|
25|1|3rd st||Austin|74337|Texas|United States|512-837-4783|
26|1|4th st||Austin|77423|Texas|United States|942-324-1342|
27|1|5th st||Austin|77442|Texas|United States|832-384-2424|
28|2|12 6th st||Austin|77432|Texas|United States|842-424-2344|
29|2|183 7th st||Austin|77234|Texas|United States|844-283-2424|
30|2|313 washington ave||Houston|72323|Texas|United States|834-245-2343|
31|2|245 Jefferson Dr||Houston|38313|Texas|United States|842-423-2342|
32|2|1003 wirt rd||Houston|74294|Texas|United States|382-432-4241|
33|2|10331 Silber Rd||Houston|74828|Texas|United States|821-392-4921|
34|2|19342 ChimneyRock rd||Houston|77024|Texas|United States|842-313-3144|
35|2|4728 Alleyway dr||Houston|77031|Texas|United States|831-234-2424|
36|2|8422 Lettacevale Dr||Houston|77301|Texas|United States|832-384-2384|
37|2|36834 Vespuchi Ave||Dallas|82813|Texas|United States|289-731-3718|
38|2|8429 Woodward dr||Dallas|74223|Texas|United States|742-329-3174|
39|2|84297 Johnson Dr||Dallas|84202|Texas|United States|821-428-4824|
40|2|1342 Wirt St||Houston|77023|Texas|United States|832-238-2342|
41|2|123 Firelane dr||Houston|77045|Texas|United States|293-123-3123|
42|2|345 Spring Cypress rd||Cypress|77429|Texas|United States|301-313-3414|
43|2|3913 Mason Rd||Katy|77319|Texas|United States|313-424-4242|
44|2|8983 Lettucvine dr||Houston|77391|Texas|United States|371-381-4823|
45|2|2321 Mason Rd||Katy|73212|Texas|United States|382-234-3234|
46|2|342 Sugarvale dr||Katy|34221|Texas|United States|424-535-6764|
47|2|105 Johnson St||Houston|77042|Texas|United States|324-453-5454|
48|2|3742 lakeview dr||Housotn|88428|Texas|United States|833-234-3823|
49|2|6493 Streetview dr||Houston|83233|Texas|United States|382-381-4272|
50|2|1st street||Austin|77332|Texas|United States|742-484-2483|
