CUSTOMER_ID|C_LNAME|C_FNAME|C_BUS_NAME|ACTIVE_ID|BUSINESS_ID|C_ADDRESS_LINE1|C_ADDRESS_LINE2|C_CITY|STATE_NAME|C_ZIP|COUNTRY_NAME|C_PHONE|C_EMAIL
1|Delroy|John|Best American|4|1|123 Smith Street||Houston|Texas|77024|United States|832-431-2231|bestamerican@gmail.com
2|Melissa|Amy|Cowgirl Trucking|4|1|1196 County Rd||Liberty|Texas|77575|United States|832-748-5406|cowgirl@cowgirl.customer.com
3|Melesio|John|Texstar Excavating|4|1|321 Smith Dr||Cypress|Texas|77429|United States|832-821-3921|melisio@gmail.com
4|Garcia|Ernesto|Ernesto Garcia Trucking|4|1|9851 Washington Ave||Houston|Texas|77006|United States|832-855-4234|ernestotrucking@yahoo.com
5|Nieto|Jaimes|Niceford|4|1|4105 Alabama St||Houston|Texas|77006|United States|713-912-4123|nicefordjaimes@gmail.com
6|County Land|Mid|Mid County Land|4|1|450 Main St||Houston|Texas|77006|United States|281-394-3213|midcountyland@gmail.com
7|Jachon|E|Jachon Int'l LTD|4|1|9889 Cowboy Ave||Pasadena|Texas|77302|United States|512-321-4234|ejachon@gmail.com
8|Chrome|ATC|Chrome ATC|4|1|3821 Johnson St||Cypress|Texas|77429|United States|832-231-3131|atcchrome@gmail.com
9|Molina|John||4|0|5314 Adams St||Houston|Texas|77024|United States|713-903-9398|johnmolina@gmail.com
10|Stair|Joseph||4|0|732 lettuce Vine St||Cypress|Texas|77429|United States|281-312-1331|Josephstair@gmail.com
11|Victor|Alejandro|Circle V Trucking|4|1|1500 Interstate Ave||Pasadena|Texas|77420|United States|832-932-1231|alejandrovictor@gmail.com
12|Buege|James|Rush Truck-Austin|4|1|500 Local State Dr||Houston|Texas|77024|United States|512-321-3134|jamesbuege@gmail.com
13|Odell|Trent|Headway Oilfield Service|4|1|7423 Steelwood Dr||Cypress|Texas|77429|United States|713-132-1313|trentodell@gmail.com
14|Stroup|Paul|Paul Stroup Custom Dozing|4|1|800 Jason Ave||Austin|Texas|73942|United States|832-534-2345|paulstroup@gmail.com
15|Ramirez Saldana|Mariano||4|0|813 Harrison Dr||Fort Worth|Texas|73193|United States|293-312-3234|marianoramirezsaldana@gmail.com
16|Thomas|Kirk||4|0|2138 Washington Ave||Houston|Texas|77429|United States|283-331-3124|kirkthomas@gmail.com
17|Park|William|Performance Truck of Houston|4|1|435 Congress Dr||San Antonio|Texas|73023|United States|842-424-4213|williampark@gmail.com
18|Chambers|Alexander|Clifton Chevrolet|4|1|654 Wick St||Fort Worth|Texas|77493|United States|840-423-6543|alexanderchambers@gmail.com
19|Plank|Dennis|Jag Trucking|4|1|953 Barker Cypress Rd||Cypress|Texas|77439|United States|832-944-3135|dennisplank@gmail.com
20|Rigoberto|Ramos||4|0|843 Kingsbrook Rd||Houston|Texas|77039|United States|618-313-4684|ptoh@customer.com
21|Murica|Oscar||4|0|675 Kingsway Ave||Katy|Texas|77329|United States|918-323-2345|oscarmurica@gmail.com
22|Barrett|Nathan|Rush Truck-San Antonio|4|1|759 Licoln Ave||Katy|Texas|77493|United States|843-347-4822|nathanbarrett@gmail.com
23|Lopez|Bernardino|AB Trucking|4|1|432 Main St||Houston|Texas|77024|United States|753-546-2475|bernardinolopez@gmail.com
24|Larret|August|Larrett Inc|4|1|5th St||Austin|Texas|77323|United States|475-489-2874|augustlarret@gmail.com
25|Guttierez|Miguel|Rush Truck-Houston|4|1|3rd St||Austin|Texas|74337|United States|512-837-4783|miguelgutierrez@gmail.com
26|Gray|Jake|Red Trucking|4|1|4th St||Austin|Texas|77423|United States|942-324-1342|jakegray@gmail.com
27|Cicero|Jay||4|0|5th St||Austin|Texas|77442|United States|832-384-2424|jaycicero@gmail.com
28|Arebalo|Carlos||4|0|12 6th St||Austin|Texas|77432|United States|842-424-2344|carlosarebalo@gmail.com
29|Gonzales|Ricky|Elite Landscaping|4|1|183 7th St||Austin|Texas|77234|United States|844-283-2424|rickygonzales@gmail.com
30|Escobar|Leo||4|0|313 Washington Ave||Houston|Texas|72323|United States|834-245-2343|leoescobar@gmail.com
31|Agrueta|Fredy||4|0|245 Jefferson Dr||Houston|Texas|38313|United States|842-423-2342|fredyagrueta@gmail.com
32|Carter|Tyrae|R & A Transport Inc|4|1|1003 Wirt Rd||Houston|Texas|74294|United States|382-432-4241|tyraecarter@gmail.com
33|Grantham|Weston|Holt Tuck Centers CAT|4|1|10331 Silber Rd||Houston|Texas|74828|United States|821-392-4921|westongrantham@gmail.com
